Entity,Code,Day,new_vaccinations_smoothed_per_million
Kenya,KEN,2021-03-22,0.0103
Kenya,KEN,2021-03-23,0.011000000000000001
Kenya,KEN,2021-03-24,0.0117
Kenya,KEN,2021-03-25,0.0135
Kenya,KEN,2021-03-26,0.015300000000000001
Kenya,KEN,2021-03-27,0.0175
Kenya,KEN,2021-03-28,0.0196
Kenya,KEN,2021-03-29,0.0217
Kenya,KEN,2021-03-30,0.0238
Kenya,KEN,2021-03-31,0.025900000000000003
Kenya,KEN,2021-04-01,0.025500000000000002
Kenya,KEN,2021-04-02,0.0251
Kenya,KEN,2021-04-03,0.0244
Kenya,KEN,2021-04-04,0.030100000000000002
Kenya,KEN,2021-04-05,0.0359
Kenya,KEN,2021-04-06,0.041600000000000005
Kenya,KEN,2021-04-07,0.047400000000000005
Kenya,KEN,2021-04-08,0.0661
Kenya,KEN,2021-04-09,0.0695
Kenya,KEN,2021-04-10,0.07300000000000001
Kenya,KEN,2021-04-11,0.0699
Kenya,KEN,2021-04-12,0.0669
Kenya,KEN,2021-04-13,0.0639
Kenya,KEN,2021-04-14,0.0609
Kenya,KEN,2021-04-15,0.050100000000000006
Kenya,KEN,2021-04-16,0.0545
Kenya,KEN,2021-04-17,0.053200000000000004
Kenya,KEN,2021-04-18,0.052000000000000005
Kenya,KEN,2021-04-19,0.0507
Kenya,KEN,2021-04-20,0.0494
Kenya,KEN,2021-04-21,0.048100000000000004
Kenya,KEN,2021-04-22,0.041100000000000005
Kenya,KEN,2021-04-23,0.034
Kenya,KEN,2021-04-24,0.0327
Kenya,KEN,2021-04-25,0.0313
Kenya,KEN,2021-04-26,0.030000000000000002
Kenya,KEN,2021-04-27,0.0286
Kenya,KEN,2021-04-28,0.0273
Kenya,KEN,2021-04-29,0.0247
Kenya,KEN,2021-04-30,0.0222
Kenya,KEN,2021-05-01,0.019700000000000002
Kenya,KEN,2021-05-02,0.0172
Kenya,KEN,2021-05-03,0.0146
Kenya,KEN,2021-05-04,0.012100000000000001
Kenya,KEN,2021-05-05,0.009600000000000001
Kenya,KEN,2021-05-06,0.009600000000000001
Kenya,KEN,2021-05-07,0.009600000000000001
Kenya,KEN,2021-05-08,0.009600000000000001
Kenya,KEN,2021-05-09,0.009600000000000001
Kenya,KEN,2021-05-10,0.009600000000000001
Kenya,KEN,2021-05-11,0.009600000000000001
Kenya,KEN,2021-05-12,0.009600000000000001
Kenya,KEN,2021-05-13,0.009600000000000001
Kenya,KEN,2021-05-14,0.009000000000000001
Kenya,KEN,2021-05-15,0.0083
Kenya,KEN,2021-05-16,0.0076
Kenya,KEN,2021-05-17,0.0068000000000000005
Kenya,KEN,2021-05-18,0.0061
Kenya,KEN,2021-05-19,0.0054
Kenya,KEN,2021-05-20,0.0049
Kenya,KEN,2021-05-21,0.0047
Kosovo,OWID_KOS,2021-03-29,0.0061
Kosovo,OWID_KOS,2021-03-30,0.0061
Kosovo,OWID_KOS,2021-03-31,0.0061
Kosovo,OWID_KOS,2021-04-01,0.0061
Kosovo,OWID_KOS,2021-04-02,0.0061
Kosovo,OWID_KOS,2021-04-03,0.0061
Kosovo,OWID_KOS,2021-04-04,0.018500000000000003
Kosovo,OWID_KOS,2021-04-05,0.023700000000000002
Kosovo,OWID_KOS,2021-04-06,0.028900000000000002
Kosovo,OWID_KOS,2021-04-07,0.0341
Kosovo,OWID_KOS,2021-04-08,0.0393
Kosovo,OWID_KOS,2021-04-09,0.044500000000000005
Kosovo,OWID_KOS,2021-04-10,0.0497
Kosovo,OWID_KOS,2021-04-11,0.0424
Kosovo,OWID_KOS,2021-04-12,0.0424
Kosovo,OWID_KOS,2021-04-13,0.0424
Kosovo,OWID_KOS,2021-04-14,0.0424
Kosovo,OWID_KOS,2021-04-15,0.046400000000000004
Kosovo,OWID_KOS,2021-04-16,0.0504
Kosovo,OWID_KOS,2021-04-17,0.0543
